username,password,last_access
9baab566-8f9a-5121-8dcf-dd7eda3aad13,DCCCDA7307A3752F61E88C7DD814AF9353FDFDA48BF919FED754F7A4AD6F84BF,1996-04-03T17:13:24-0600
f80123ea-d296-5639-aa4e-0344183d0b99,FA80C07BC616626AF70E5A03B89E685D4340880E7042E1284595F213E7217EFD,1996-04-28T20:53:48-0600
5bf6f119-f5a5-5fd8-b39d-1c642456eeb9,BF2EE3FC2C13FF060DEEA96A37BC0DB1C5B9549280432571E179692DB4AC2035,1996-07-01T22:16:17-0600
79459dbc-e911-585f-bb4c-c6b7399e20f0,6229191CDD39D4873D6E81CB50FD62F2E921947F13934B23A51CE502DF6C9049,1996-06-10T15:02:48-0600
c9548d6b-179d-53b7-a17c-d88740c7ba10,C97FA6FBF6EF81DB771E8AE4B370A5ECDA630150251642547D73EB6D892F854D,1996-09-27T02:24:25-0600
570f785f-13cf-5570-9b2e-667a145a0527,6DD6A839E15B151C1E7EF671D3BFE1F78860D1304F3D9B8394927D1F8307846F,1996-09-25T14:13:46-0600
4d8a1518-e702-5aee-9ab4-12ef9eb2e550,0D9F291D2B017DC1C9AA3D8BFBB51742B9C876824F678F63D70DC6001C027A72,1996-08-27T05:23:29-0600
b79c2773-c36d-5480-83a9-56075ed2435e,FD86F56CB84E69A14E85944897A122150847CA61B7BB97877D816FD8E48534E6,1996-06-19T04:21:17-0600
ea9da449-ae2e-52c5-b993-995291a2093d,6AE972F8B30D0D116F6A7D5404D1D56D02D5652DB60ABA6E6450A3F0EF6364A9,1996-08-11T16:53:14-0600
87ccb5e3-d66b-501f-92c4-4f0a5e0e766d,A37E86C274FA5740110C1BF7D8B00BF44F4687A57C52809CF5B2F46CA0158E90,1996-03-28T12:41:58-0600
05cbba29-9871-5639-93f4-b2518b79218a,28A63D865AE4CDD812DFFBE1539FDFA7A80B38047C18B0183061F89DB108D3F0,1996-05-17T05:42:28-0600
680183cb-e14c-5c4c-9eca-7d168c9be814,9BC45F70CDD6AA65F3CD80DE332AAE246E5856FB1F0707F68D94E30276240352,1996-08-10T00:34:11-0600
31ab42cc-00f6-571f-a554-eeb5c32a9474,CCE597B6AEB74C96C55CAA16790FE5400F066F31982C8993220A3E21F63195C6,1996-05-15T16:42:05-0600
8905ee53-6413-5029-b7ed-87de1790ee20,29A20C6A058EDCBDCC3437AF75442BB4F08DC43D16E609ECADE286B05E2B0BF0,1996-04-19T05:07:43-0600
0cd2b6b5-131b-5f20-a041-76beaef353d2,222CED2B5E3B4E7901D3BE22E64EED1163D34C64CC28B9A713F2A269F2F38C61,1996-09-22T17:38:26-0600
4ded72b9-ce2b-5a6b-9925-12baea88984f,2AA88C04AD424640A5C20C648D85B1B6E7D99F1EB99A161B9DB9C3E48DD45853,1996-04-06T19:15:06-0600
2ceb05ae-dbce-5ae9-9c3e-8164eef830a6,606B9AE819C1D309CBA22A8C8CE3E73202A8E30B269B4A3A4ECAF0970D82147A,1996-03-24T14:09:06-0600
702ebfc6-926d-5008-afd1-c02f25e69884,11148B3648987BED4B6C462A79E78B477F4129BF3EBCE9C3C95434F80BE3AB30,1996-04-22T11:38:52-0600
0f37b1f4-9aac-5149-a9fe-1df248a0e9af,378AED77404F3C0ACC8BF39E79A86DCD108AFFEA022BF21AC84F492A4E7DBD67,1996-06-12T12:21:06-0600
7ef85d14-721d-5c06-93dc-a18db2277d1f,A4EE58DBF99661F94EEFFD17773810F93F39D03F0766A6F8D5AFCBF6030A6076,1996-05-19T00:49:42-0600
